node,type,label,degree_centrality,betweenness_centrality,community
LVS,company,Las Vegas Sands Corp.,0.006002400960384153,0.0002366331147843753,
LW,company,"Lamb Weston Holdings, Inc.",0.010804321728691476,0.004014105642256903,
LYB,company,LyondellBasell Industries N.V.,0.004801920768307323,0.0001731461815495429,
LYV,company,"Live Nation Entertainment, Inc.",0.003601440576230492,0.0,
MA,company,Mastercard Incorporated,0.009603841536614645,0.000718556653430603,
MAA,company,"Mid-America Apartment Communities, Inc.",0.01800720288115246,0.003915989472712162,
MAR,company,"Marriott International, Inc.",0.009603841536614645,0.003650498661002863,
MAS,company,Masco Corporation,0.007202881152460984,0.001082163634684643,
MCD,company,McDonald's Corporation,0.012004801920768306,0.0007589574291254964,
MCHP,company,Microchip Technology Incorporated,0.010804321728691476,0.00046172315079878105,
MCK,company,McKesson Corporation,0.010804321728691476,0.0018699787607350633,
MCO,company,Moody's Corporation,0.007202881152460984,0.0016535460337981347,
MDLZ,company,"Mondelez International, Inc.",0.009603841536614645,0.007289454243235756,
MDT,company,Medtronic plc,0.003601440576230492,8.945886046726383e-05,
MET,company,"MetLife, Inc.",0.006002400960384153,0.0015554298642533938,
META,company,"Meta Platforms, Inc.",0.010804321728691476,0.0017256902761104442,
MGM,company,MGM Resorts International,0.009603841536614645,0.009150775694893342,
MHK,company,"Mohawk Industries, Inc.",0.012004801920768306,0.0029983147104995847,
MKC,company,"McCormick & Company, Incorporated",0.010804321728691476,0.0007445285806630344,
MKTX,company,MarketAxess Holdings Inc.,0.013205282112845136,0.007563602364022533,
MLM,company,"Martin Marietta Materials, Inc.",0.009603841536614645,0.0009580755379074707,
MMC,company,"Marsh & McLennan Companies, Inc.",0.010804321728691476,0.0013563117554714194,
MMM,company,3M Company,0.012004801920768306,0.0013361113676239728,
MNST,company,Monster Beverage Corporation,0.010804321728691476,0.0004068935266414258,
MO,company,"Altria Group, Inc.",0.010804321728691476,0.004319997229661096,
MOH,company,"Molina Healthcare, Inc.",0.007202881152460984,5.194385446486287e-05,
MOS,company,The Mosaic Company,0.009603841536614645,0.00530693046449349,
MPC,company,Marathon Petroleum Corporation,0.010804321728691476,0.0002712623510942839,
MPWR,company,"Monolithic Power Systems, Inc.",0.010804321728691476,0.0003636069812540401,
MRK,company,"Merck & Co., Inc.",0.009603841536614645,8.657309077477145e-05,
MRNA,company,"Moderna, Inc.",0.006002400960384153,0.0010561917074522118,
MS,company,Morgan Stanley,0.010804321728691476,0.00041266506602641057,
MSCI,company,MSCI Inc.,0.013205282112845136,0.004244967217656294,
MSFT,company,Microsoft Corporation,0.009603841536614645,0.002487533474928433,
MSI,company,"Motorola Solutions, Inc.",0.007202881152460984,0.0004963523871086896,
MTB,company,M&T Bank Corporation,0.01680672268907563,0.006856588789361899,
MTCH,company,"Match Group, Inc.",0.006002400960384153,7.79157816972943e-05,
MTD,company,Mettler-Toledo International Inc.,0.013205282112845136,0.0024384753901560627,
MU,company,"Micron Technology, Inc.",0.015606242496998799,0.013095622864530428,
NCLH,company,Norwegian Cruise Line Holdings Ltd.,0.008403361344537815,0.004461399944593222,
NDAQ,company,"Nasdaq, Inc.",0.004801920768307323,0.00015871733308708098,
NDSN,company,Nordson Corporation,0.008403361344537815,7.214424231230955e-05,
NEE,company,"NextEra Energy, Inc.",0.010804321728691476,0.0029983147104995847,
NEM,company,Newmont Corporation,0.006002400960384153,0.0037688152183950503,
NFLX,company,"Netflix, Inc.",0.003601440576230492,0.0016593175731831195,
NI,company,NiSource Inc.,0.012004801920768306,0.000279919660171761,
NKE,company,"NIKE, Inc.",0.008403361344537815,0.004092021423954197,
NOC,company,Northrop Grumman Corporation,0.006002400960384153,0.0,
NOW,company,"ServiceNow, Inc.",0.008403361344537815,0.004317111459968603,
NRG,company,"NRG Energy, Inc.",0.013205282112845136,0.0007127851140456183,
NSC,company,Norfolk Southern Corporation,0.006002400960384153,0.0007012420352756488,
NTAP,company,"NetApp, Inc.",0.009603841536614645,0.002851140456182473,
NTRS,company,Northern Trust Corporation,0.009603841536614645,0.001119678640687044,
NUE,company,Nucor Corporation,0.008403361344537815,0.007049935358758888,
NVDA,company,NVIDIA Corporation,0.014405762304921969,0.006559354511035184,
NWSA,company,News Corporation,0.009603841536614645,0.0009725043863699326,
NXPI,company,NXP Semiconductors N.V.,0.009603841536614645,0.0005482962415735525,
O,company,Realty Income Corporation,0.01800720288115246,0.0009696186166774402,
ODFL,company,"Old Dominion Freight Line, Inc.",0.007202881152460984,0.00047038045987625823,
OKE,company,"ONEOK, Inc.",0.010804321728691476,0.0003636069812540401,
OMC,company,Omnicom Group Inc.,0.013205282112845136,0.004169937205651492,
ON,company,ON Semiconductor Corporation,0.015606242496998799,0.004550858805060486,
ORCL,company,Oracle Corporation,0.012004801920768306,0.014907886231415644,
ORLY,company,"O'Reilly Automotive, Inc.",0.013205282112845136,0.0015496583248684088,
OTIS,company,Otis Worldwide Corporation,0.008403361344537815,0.00038669313879397915,
OXY,company,Occidental Petroleum Corporation,0.009603841536614645,0.00035494967217656297,
PANW,company,"Palo Alto Networks, Inc.",0.013205282112845136,0.015421553236679288,
PARA,company,Paramount Global,0.004801920768307323,0.0001414027149321267,
PAYC,company,"Paycom Software, Inc.",0.012004801920768306,0.005595507433742728,
PAYX,company,"Paychex, Inc.",0.008403361344537815,0.00036937852063902485,
PCAR,company,PACCAR Inc,0.009603841536614645,0.0038755886970172687,
PCG,company,PG&E Corporation,0.007202881152460984,0.0004270939144888725,
PEG,company,Public Service Enterprise Group Incorporated,0.009603841536614645,2.8857696924923816e-05,
PEP,company,"PepsiCo, Inc.",0.009603841536614645,0.0,
PFE,company,Pfizer Inc.,0.007202881152460984,0.000219318496629421,
PFG,company,"Principal Financial Group, Inc.",0.008403361344537815,0.004230538369193832,
PG,company,The Procter & Gamble Company,0.012004801920768306,0.00025971927232431436,
PGR,company,The Progressive Corporation,0.007202881152460984,0.0016131452581032413,
PH,company,Parker-Hannifin Corporation,0.007202881152460984,3.462923630990858e-05,
PHM,company,"PulteGroup, Inc.",0.004801920768307323,0.0009436466894450088,
PKG,company,Packaging Corporation of America,0.004801920768307323,0.0018468926031951242,
PLD,company,"Prologis, Inc.",0.014405762304921969,0.0030560301043494323,
PLTR,company,Palantir Technologies Inc.,0.007202881152460984,0.00017603195124203528,
PM,company,Philip Morris International Inc.,0.012004801920768306,0.005990857881614184,
PNC,company,"The PNC Financial Services Group, Inc.",0.009603841536614645,1.4428848462461908e-05,
PNR,company,Pentair plc,0.007202881152460984,0.0019998383968972207,
PNW,company,Pinnacle West Capital Corporation,0.008403361344537815,0.0006377551020408164,
